Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1547547256069,2019-01-15,10:14:16.069,77535,FiO2,FiO2,%,32.0000,30.0000
1547547687075,2019-01-15,10:21:27.075,77966,FiO2,FiO2,%,30.0000,28.0000
1547548267095,2019-01-15,10:31:07.095,78546,FiO2,FiO2,%,28.0000,27.0000
1547550059055,2019-01-15,11:00:59.055,80338,FiO2,FiO2,%,27.0000,26.0000
1547550100087,2019-01-15,11:01:40.087,80379,FiO2,FiO2,%,26.0000,24.0000
1547550109071,2019-01-15,11:01:49.071,80388,FiO2,FiO2,%,24.0000,23.0000
1547552918081,2019-01-15,11:48:38.081,83197,FiO2,FiO2,%,23.0000,26.0000
1547552933112,2019-01-15,11:48:53.112,83212,FiO2,FiO2,%,26.0000,23.0000
1547557378073,2019-01-15,13:02:58.073,87657,FiO2,FiO2,%,23.0000,22.0000
1547560632081,2019-01-15,13:57:12.081,90911,FiO2,FiO2,%,22.0000,21.0000
1547560819076,2019-01-15,14:00:19.076,91098,FiO2,FiO2,%,21.0000,22.0000
1547561727081,2019-01-15,14:15:27.081,92006,FiO2,FiO2,%,22.0000,24.0000
1547563516056,2019-01-15,14:45:16.056,93795,FiO2,FiO2,%,24.0000,25.0000
1547563988114,2019-01-15,14:53:08.114,94267,FiO2,FiO2,%,25.0000,26.0000
1547565003085,2019-01-15,15:10:03.085,95282,FiO2,FiO2,%,26.0000,27.0000
1547565238088,2019-01-15,15:13:58.088,95517,FiO2,FiO2,%,27.0000,29.0000
1547565832058,2019-01-15,15:23:52.058,96111,FiO2,FiO2,%,29.0000,31.0000
1547566722083,2019-01-15,15:38:42.083,97001,FiO2,FiO2,%,31.0000,33.0000
1547567748066,2019-01-15,15:55:48.066,98027,FiO2,FiO2,%,33.0000,30.0000
