Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1547469721066,2019-01-14,12:42:01.066,0,FiO2,FiO2,%,,24.0000
1547469721066,2019-01-14,12:42:01.066,0,VTi,VTi,L,,0.0030
1547469721066,2019-01-14,12:42:01.066,0,Ti,Ti,s,,0.3200
1547469721066,2019-01-14,12:42:01.066,0,Te,Te,s,,0.8800
1547469721066,2019-01-14,12:42:01.066,0,I (I:E),I (I:E),no unit,,1.0000
1547469721066,2019-01-14,12:42:01.066,0,E (I:E),E (I:E),no unit,,2.7000
1547469721066,2019-01-14,12:42:01.066,0,RR,RR,1/min,,50.0000
1547469721066,2019-01-14,12:42:01.066,0,PEEP,PEEP,mbar,,6.0000
1547469721066,2019-01-14,12:42:01.066,0,Pmax,Pmax,mbar,,30.0000
1547469721066,2019-01-14,12:42:01.066,0,MVhigh delay,MVhigh delay,s,,5.0000
1547469721066,2019-01-14,12:42:01.066,0,MVlow delay,MVlow delay,s,,0.0000
1547469721066,2019-01-14,12:42:01.066,0,Flow trigger,Flow trigger,L/min,,0.2000
1547469721066,2019-01-14,12:42:01.066,0,Slope,Slope,s,,0.0800
1547469721066,2019-01-14,12:42:01.066,0,VTi,VTi,mL,,2.9000
1547471710060,2019-01-14,13:15:10.060,1989,FiO2,FiO2,%,24.0000,25.0000
1547472193082,2019-01-14,13:23:13.082,2472,FiO2,FiO2,%,25.0000,24.0000
1547481859107,2019-01-14,16:04:19.107,12138,FiO2,FiO2,%,24.0000,27.0000
1547484997062,2019-01-14,16:56:37.062,15276,FiO2,FiO2,%,27.0000,24.0000
1547491129068,2019-01-14,18:38:49.068,21408,FiO2,FiO2,%,24.0000,22.0000
1547495517083,2019-01-14,19:51:57.083,25796,FiO2,FiO2,%,22.0000,25.0000
1547495564067,2019-01-14,19:52:44.067,25843,FiO2,FiO2,%,25.0000,27.0000
1547496057109,2019-01-14,20:00:57.109,26336,FiO2,FiO2,%,27.0000,26.0000
1547497379153,2019-01-14,20:22:59.153,27658,FiO2,FiO2,%,26.0000,24.0000
1547498915090,2019-01-14,20:48:35.090,29194,FiO2,FiO2,%,24.0000,26.0000
1547498928059,2019-01-14,20:48:48.059,29207,FiO2,FiO2,%,26.0000,29.0000
1547498963075,2019-01-14,20:49:23.075,29242,FiO2,FiO2,%,29.0000,30.0000
1547499389093,2019-01-14,20:56:29.093,29668,FiO2,FiO2,%,30.0000,27.0000
1547502423068,2019-01-14,21:47:03.068,32702,FiO2,FiO2,%,27.0000,29.0000
1547502994081,2019-01-14,21:56:34.081,33273,FiO2,FiO2,%,29.0000,30.0000
1547505578052,2019-01-14,22:39:38.052,35857,FiO2,FiO2,%,30.0000,28.0000
1547505986075,2019-01-14,22:46:26.075,36265,FiO2,FiO2,%,28.0000,26.0000
1547506062076,2019-01-14,22:47:42.076,36341,FiO2,FiO2,%,26.0000,24.0000
1547508625096,2019-01-14,23:30:25.096,38904,FiO2,FiO2,%,24.0000,33.0000
1547509200075,2019-01-14,23:40:00.075,39479,FiO2,FiO2,%,33.0000,24.0000
1547509339061,2019-01-14,23:42:19.061,39618,FiO2,FiO2,%,24.0000,23.0000
1547510026095,2019-01-14,23:53:46.095,40305,FiO2,FiO2,%,23.0000,26.0000
1547513394066,2019-01-15,00:49:54.066,43673,FiO2,FiO2,%,26.0000,27.0000
1547516144078,2019-01-15,01:35:44.078,46423,FiO2,FiO2,%,27.0000,28.0000
1547518876081,2019-01-15,02:21:16.081,49155,FiO2,FiO2,%,28.0000,31.0000
1547519048068,2019-01-15,02:24:08.068,49327,FiO2,FiO2,%,31.0000,25.0000
1547519428071,2019-01-15,02:30:28.071,49707,FiO2,FiO2,%,25.0000,23.0000
1547519762059,2019-01-15,02:36:02.059,50041,FiO2,FiO2,%,23.0000,22.0000
1547521104124,2019-01-15,02:58:24.124,51383,FiO2,FiO2,%,22.0000,24.0000
1547521387065,2019-01-15,03:03:07.065,51666,FiO2,FiO2,%,24.0000,25.0000
1547523508060,2019-01-15,03:38:28.060,53787,FiO2,FiO2,%,25.0000,33.0000
1547523639061,2019-01-15,03:40:39.061,53918,FiO2,FiO2,%,33.0000,34.0000
1547523872080,2019-01-15,03:44:32.080,54151,FiO2,FiO2,%,34.0000,30.0000
1547524727088,2019-01-15,03:58:47.088,55006,FiO2,FiO2,%,30.0000,27.0000
1547524823089,2019-01-15,04:00:23.089,55102,FiO2,FiO2,%,27.0000,26.0000
1547525515054,2019-01-15,04:11:55.054,55794,FiO2,FiO2,%,26.0000,27.0000
1547526217102,2019-01-15,04:23:37.102,56496,FiO2,FiO2,%,27.0000,25.0000
1547529400069,2019-01-15,05:16:40.069,59679,FiO2,FiO2,%,25.0000,30.0000
1547531897070,2019-01-15,05:58:17.070,62176,FiO2,FiO2,%,30.0000,32.0000
1547531942070,2019-01-15,05:59:02.070,62221,FiO2,FiO2,%,32.0000,34.0000
1547537961045,2019-01-15,07:39:21.045,68240,FiO2,FiO2,%,34.0000,30.0000
1547538101078,2019-01-15,07:41:41.078,68380,FiO2,FiO2,%,30.0000,32.0000
1547538186048,2019-01-15,07:43:06.048,68465,FiO2,FiO2,%,32.0000,34.0000
1547545587053,2019-01-15,09:46:27.053,75866,VTi,VTi,mL,2.9000,3.2000
1547545625069,2019-01-15,09:47:05.069,75904,FiO2,FiO2,%,34.0000,32.0000
