Time [ms],Date,Time,Rel.Time [s],Id,Name,Priority Old,Priority New,Phrase,State Old,State New
1547643164204,2019-01-16,12:52:44.204,12884,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547643193220,2019-01-16,12:53:13.220,12913,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643204204,2019-01-16,12:53:24.204,12924,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547643244205,2019-01-16,12:54:04.205,12964,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643255189,2019-01-16,12:54:15.189,12975,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547643277221,2019-01-16,12:54:37.221,12997,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643285190,2019-01-16,12:54:45.190,13005,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547643309190,2019-01-16,12:55:09.190,13029,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643313206,2019-01-16,12:55:13.206,13033,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547643331206,2019-01-16,12:55:31.206,13051,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643335190,2019-01-16,12:55:35.190,13055,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547643386213,2019-01-16,12:56:26.213,13106,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643399213,2019-01-16,12:56:39.213,13119,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547643414213,2019-01-16,12:56:54.213,13134,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547643467198,2019-01-16,12:57:47.198,13187,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547643506198,2019-01-16,12:58:26.198,13226,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547643526214,2019-01-16,12:58:46.214,13246,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547643533199,2019-01-16,12:58:53.199,13253,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547643534199,2019-01-16,12:58:54.199,13254,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547644172220,2019-01-16,13:09:32.220,13892,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547644177204,2019-01-16,13:09:37.204,13897,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547644272190,2019-01-16,13:11:12.190,13992,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547644305190,2019-01-16,13:11:45.190,14025,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547644322190,2019-01-16,13:12:02.190,14042,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547644344191,2019-01-16,13:12:24.191,14064,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547644375207,2019-01-16,13:12:55.207,14095,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547644395191,2019-01-16,13:13:15.191,14115,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547644728212,2019-01-16,13:18:48.212,14448,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547644729197,2019-01-16,13:18:49.197,14449,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547645465206,2019-01-16,13:31:05.206,15185,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547645470206,2019-01-16,13:31:10.206,15190,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547645500206,2019-01-16,13:31:40.206,15220,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547645518191,2019-01-16,13:31:58.191,15238,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547645816211,2019-01-16,13:36:56.211,15536,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547645826195,2019-01-16,13:37:06.195,15546,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547648229208,2019-01-16,14:17:09.208,17949,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547648233193,2019-01-16,14:17:13.193,17953,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547652248206,2019-01-16,15:24:08.206,21968,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547652250206,2019-01-16,15:24:10.206,21970,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547652272191,2019-01-16,15:24:32.191,21992,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547652273206,2019-01-16,15:24:33.206,21993,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547662324194,2019-01-16,18:12:04.194,32044,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547662345195,2019-01-16,18:12:25.195,32065,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547663885219,2019-01-16,18:38:05.219,33605,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1547663886220,2019-01-16,18:38:06.220,33606,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547663914220,2019-01-16,18:38:34.220,33634,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1547663917189,2019-01-16,18:38:37.189,33637,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547664626195,2019-01-16,18:50:26.195,34346,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547664683211,2019-01-16,18:51:23.211,34403,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547664935214,2019-01-16,18:55:35.214,34655,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547664952215,2019-01-16,18:55:52.215,34672,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547664983215,2019-01-16,18:56:23.215,34703,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547665019215,2019-01-16,18:56:59.215,34739,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547665033231,2019-01-16,18:57:13.231,34753,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547665044216,2019-01-16,18:57:24.216,34764,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547665054216,2019-01-16,18:57:34.216,34774,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547665070200,2019-01-16,18:57:50.200,34790,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547693669207,2019-01-17,02:54:29.207,63389,Minute volume > high limit,Minute volume > high limit,-1,29,MIN VOL HIGH,NotActive,Active
1547693675192,2019-01-17,02:54:35.192,63395,Minute volume > high limit,Minute volume > high limit,29,-1,,Active,NotActive
1547697439204,2019-01-17,03:57:19.204,67159,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1547697446219,2019-01-17,03:57:26.219,67166,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1547699014231,2019-01-17,04:23:34.231,68734,Tidal volume < low Limit,Tidal volume < low Limit,,20,TIDAL VOL LO,Unknown,Active
1547699019247,2019-01-17,04:23:39.247,68739,Tidal volume < low Limit,Tidal volume < low Limit,20,-1,,Active,NotActive
1547699038216,2019-01-17,04:23:58.216,68758,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1547699041216,2019-01-17,04:24:01.216,68761,Respiratory rate > high limit,Respiratory rate > high limit,-1,29,RESP RATE HI,NotActive,Active
1547699044216,2019-01-17,04:24:04.216,68764,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1547699055200,2019-01-17,04:24:15.200,68775,Respiratory rate > high limit,Respiratory rate > high limit,29,-1,,Active,NotActive
1547699061216,2019-01-17,04:24:21.216,68781,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1547699075216,2019-01-17,04:24:35.216,68795,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1547712704226,2019-01-17,08:11:44.226,82424,Tube obstructed,Tube obstructed,,30,TUBE OBSTRUC,Unknown,Active
1547712705241,2019-01-17,08:11:45.241,82425,Tube obstructed,Tube obstructed,30,-1,,Active,NotActive
1547712720210,2019-01-17,08:12:00.210,82440,Minute volume < low limit,Minute volume < low limit,-1,29,MIN VOL LOW ,NotActive,Active
1547712726210,2019-01-17,08:12:06.210,82446,Minute volume < low limit,Minute volume < low limit,29,-1,,Active,NotActive
1547712728241,2019-01-17,08:12:08.241,82448,Tube obstructed,Tube obstructed,-1,30,TUBE OBSTRUC,NotActive,Active
1547712730242,2019-01-17,08:12:10.242,82450,Tube obstructed,Tube obstructed,30,-1,,Active,NotActive
