Time [ms],Date,Time,Rel.Time [s],Id,Name,Unit,Value Old,Value New
1547469721254,2019-01-14,12:42:01.254,0,MVe_HL,MVe_HL,L/min,,0.5000
1547469721254,2019-01-14,12:42:01.254,0,PIP_HL,PIP_HL,mbar,,35.0000
1547469721254,2019-01-14,12:42:01.254,0,RR_HL,RR_HL,1/min,,100.0000
1547469721254,2019-01-14,12:42:01.254,0,etCO2_HL,etCO2_HL,%,,7.9000
1547469721254,2019-01-14,12:42:01.254,0,etCO2_HL,etCO2_HL,kPa,,8.0000
1547469721254,2019-01-14,12:42:01.254,0,etCO2_HL,etCO2_HL,mmHg,,60.0000
1547469721285,2019-01-14,12:42:01.285,0,MVe_LL,MVe_LL,L/min,,0.0200
1547469721285,2019-01-14,12:42:01.285,0,etCO2_LL,etCO2_LL,%,,3.9000
1547469721285,2019-01-14,12:42:01.285,0,etCO2_LL,etCO2_LL,kPa,,4.0000
1547469721285,2019-01-14,12:42:01.285,0,etCO2_LL,etCO2_LL,mmHg,,30.0000
